target,target_cat,scene,format,seed,prompt,image_path,detected_string,ocr_confidence,ned,cer,success_strict,success_lenient,failure_type,n_detections,spurious_text,target_contained
CAT,short_common,blank,quoted,42,"a plain white sign with the word ""CAT"" printed clearly on it",/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_quoted_seed42.png,CAXTI,0.4119601367270091,0.4,0.6666666666666666,False,False,partial,2,True,False
CAT,short_common,blank,quoted,123,"a plain white sign with the word ""CAT"" printed clearly on it",/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_quoted_seed123.png,CAIT,0.9932610748729681,0.25,0.3333333333333333,False,True,partial,1,False,False
CAT,short_common,blank,unquoted,42,a plain white sign with the word CAT printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_unquoted_seed42.png,Cd,0.10044914936131824,0.6666666666666666,0.6666666666666666,False,False,partial,3,False,False
CAT,short_common,blank,unquoted,123,a plain white sign with the word CAT printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_unquoted_seed123.png,CATAT,0.9948871654698194,0.4,0.6666666666666666,False,False,partial,2,True,True
CAT,short_common,blank,letterspaced,42,a plain white sign with the word C A T printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_letterspaced_seed42.png,CAT,0.9998553301686818,0.0,0.0,True,True,success,1,False,True
CAT,short_common,blank,letterspaced,123,a plain white sign with the word C A T printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_letterspaced_seed123.png,AT,0.952686177422538,0.3333333333333333,0.3333333333333333,False,True,partial,4,True,True
CAT,short_common,blank,verbatim,42,"a plain white sign with the word CAT printed clearly on it, render the exact characters: CAT",/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_verbatim_seed42.png,Cat,0.8830884695053101,0.0,0.0,True,True,success,1,False,True
CAT,short_common,blank,verbatim,123,"a plain white sign with the word CAT printed clearly on it, render the exact characters: CAT",/Users/nicoleshen/Downloads/mmai_project/images/CAT_blank_verbatim_seed123.png,Caz,0.46145642022919253,0.3333333333333333,0.3333333333333333,False,True,partial,1,False,False
CAT,short_common,simple,quoted,42,"a wooden storefront sign that clearly says ""CAT""",/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_quoted_seed42.png,C ATT,0.4757077284708833,0.4,0.6666666666666666,False,False,partial,1,False,False
CAT,short_common,simple,quoted,123,"a wooden storefront sign that clearly says ""CAT""",/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_quoted_seed123.png,Coy),0.23416674137115479,0.75,1.0,False,False,partial,2,False,False
CAT,short_common,simple,unquoted,42,a wooden storefront sign that clearly says CAT,/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_unquoted_seed42.png,CAT,0.6032826098720967,0.0,0.0,True,True,success,6,True,True
CAT,short_common,simple,unquoted,123,a wooden storefront sign that clearly says CAT,/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_unquoted_seed123.png,EAN,0.07049723378371572,0.6666666666666666,0.6666666666666666,False,False,partial,1,False,False
CAT,short_common,simple,letterspaced,42,a wooden storefront sign that clearly says C A T,/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_letterspaced_seed42.png,CAT,0.9994498979307073,0.0,0.0,True,True,success,3,True,True
CAT,short_common,simple,letterspaced,123,a wooden storefront sign that clearly says C A T,/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_letterspaced_seed123.png,AI,0.4740097567981551,0.6666666666666666,0.6666666666666666,False,False,partial,3,True,False
CAT,short_common,simple,verbatim,42,"a wooden storefront sign that clearly says CAT, render the exact characters: CAT",/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_verbatim_seed42.png,CA T,0.8132724707256084,0.25,0.3333333333333333,False,True,partial,4,True,False
CAT,short_common,simple,verbatim,123,"a wooden storefront sign that clearly says CAT, render the exact characters: CAT",/Users/nicoleshen/Downloads/mmai_project/images/CAT_simple_verbatim_seed123.png,(CATXTBT,0.07986206266739042,0.625,1.6666666666666667,False,False,partial,2,False,True
CAT,short_common,cluttered,quoted,42,"a neon sign on a busy city street that reads ""CAT""",/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_quoted_seed42.png,GDXCE / JIE,0.18161837696823516,0.9090909090909091,3.3333333333333335,False,False,garbled,2,False,False
CAT,short_common,cluttered,quoted,123,"a neon sign on a busy city street that reads ""CAT""",/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_quoted_seed123.png,CAT,0.997891071423798,0.0,0.0,True,True,success,6,True,True
CAT,short_common,cluttered,unquoted,42,a neon sign on a busy city street that reads CAT,/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_unquoted_seed42.png,Ka,0.1092841165992745,0.6666666666666666,0.6666666666666666,False,False,partial,4,True,False
CAT,short_common,cluttered,unquoted,123,a neon sign on a busy city street that reads CAT,/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_unquoted_seed123.png,CAt,0.5065483378875402,0.0,0.0,True,True,success,7,True,True
CAT,short_common,cluttered,letterspaced,42,a neon sign on a busy city street that reads C A T,/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_letterspaced_seed42.png,VPATI,0.8625846837332665,0.6,1.0,False,False,partial,8,True,False
CAT,short_common,cluttered,letterspaced,123,a neon sign on a busy city street that reads C A T,/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_letterspaced_seed123.png,cCatt,0.887970339691508,0.4,0.6666666666666666,False,False,partial,7,True,True
CAT,short_common,cluttered,verbatim,42,"a neon sign on a busy city street that reads CAT, render the exact characters: CAT",/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_verbatim_seed42.png,C,0.3759817224645303,0.6666666666666666,0.6666666666666666,False,False,partial,8,True,False
CAT,short_common,cluttered,verbatim,123,"a neon sign on a busy city street that reads CAT, render the exact characters: CAT",/Users/nicoleshen/Downloads/mmai_project/images/CAT_cluttered_verbatim_seed123.png,CAT,0.8701262824568067,0.0,0.0,True,True,success,5,True,True
DOG,short_common,blank,quoted,42,"a plain white sign with the word ""DOG"" printed clearly on it",/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_quoted_seed42.png,DOGG,0.9795622825622559,0.25,0.3333333333333333,False,True,partial,1,False,True
DOG,short_common,blank,quoted,123,"a plain white sign with the word ""DOG"" printed clearly on it",/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_quoted_seed123.png,Dog,0.9598390165379117,0.0,0.0,True,True,success,2,False,True
DOG,short_common,blank,unquoted,42,a plain white sign with the word DOG printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_unquoted_seed42.png,D 0| G,0.5809417209511201,0.6666666666666666,1.3333333333333333,False,False,partial,2,True,False
DOG,short_common,blank,unquoted,123,a plain white sign with the word DOG printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_unquoted_seed123.png,Dog,0.9987084633461463,0.0,0.0,True,True,success,2,False,True
DOG,short_common,blank,letterspaced,42,a plain white sign with the word D O G printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_letterspaced_seed42.png,,0.0,1.0,1.0,False,False,no_text,1,False,False
DOG,short_common,blank,letterspaced,123,a plain white sign with the word D O G printed clearly on it,/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_letterspaced_seed123.png,D-G,0.999682996408458,0.3333333333333333,0.3333333333333333,False,True,partial,3,True,False
DOG,short_common,blank,verbatim,42,"a plain white sign with the word DOG printed clearly on it, render the exact characters: DOG",/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_verbatim_seed42.png,DOG,0.9924960202544477,0.0,0.0,True,True,success,1,False,True
DOG,short_common,blank,verbatim,123,"a plain white sign with the word DOG printed clearly on it, render the exact characters: DOG",/Users/nicoleshen/Downloads/mmai_project/images/DOG_blank_verbatim_seed123.png,,0.0,1.0,1.0,False,False,no_text,1,True,False
DOG,short_common,simple,quoted,42,"a wooden storefront sign that clearly says ""DOG""",/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_quoted_seed42.png,D 0   G   6 G,0.25460988605962964,0.8461538461538461,3.6666666666666665,False,False,garbled,1,False,False
DOG,short_common,simple,quoted,123,"a wooden storefront sign that clearly says ""DOG""",/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_quoted_seed123.png,"Dok ""ORG",0.3299729983679676,0.625,1.6666666666666667,False,False,partial,2,True,False
DOG,short_common,simple,unquoted,42,a wooden storefront sign that clearly says DOG,/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_unquoted_seed42.png,Ndia,0.00659416988492012,0.75,1.0,False,False,partial,11,True,False
DOG,short_common,simple,unquoted,123,a wooden storefront sign that clearly says DOG,/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_unquoted_seed123.png,DoG,0.5674196695806649,0.0,0.0,True,True,success,2,False,True
DOG,short_common,simple,letterspaced,42,a wooden storefront sign that clearly says D O G,/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_letterspaced_seed42.png,DOGG,0.9995819926261902,0.25,0.3333333333333333,False,True,partial,1,False,True
DOG,short_common,simple,letterspaced,123,a wooden storefront sign that clearly says D O G,/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_letterspaced_seed123.png,DOG,0.9944942729554966,0.0,0.0,True,True,success,3,True,True
DOG,short_common,simple,verbatim,42,"a wooden storefront sign that clearly says DOG, render the exact characters: DOG",/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_verbatim_seed42.png,Do 6,0.3937246613223901,0.5,0.6666666666666666,False,False,partial,3,True,False
DOG,short_common,simple,verbatim,123,"a wooden storefront sign that clearly says DOG, render the exact characters: DOG",/Users/nicoleshen/Downloads/mmai_project/images/DOG_simple_verbatim_seed123.png,fLI- DO6   THRIE,0.061060448412345744,0.875,4.666666666666667,False,False,garbled,5,True,False
DOG,short_common,cluttered,quoted,42,"a neon sign on a busy city street that reads ""DOG""",/Users/nicoleshen/Downloads/mmai_project/images/DOG_cluttered_quoted_seed42.png,DOG,0.9082487994058421,0.0,0.0,True,True,success,8,False,True
DOG,short_common,cluttered,quoted,123,"a neon sign on a busy city street that reads ""DOG""",/Users/nicoleshen/Downloads/mmai_project/images/DOG_cluttered_quoted_seed123.png,Dog,0.4337107147113351,0.0,0.0,True,True,success,5,True,True
